lang_code,total_bleu,avg_bleu
ar,79.801152,0.393109
az,95.247204,0.471521
bn,87.264042,0.423612
cs,93.852874,0.460063
en,164.951647,0.808587
es,111.561076,0.549562
fr,96.732659,0.478875
hi,78.831244,0.390254
id_casual,115.612059,0.566726
id_formal,109.645638,0.534857
it,112.491182,0.556887
ja_casual,79.357046,0.389005
ja_formal,80.638461,0.389558
jv_krama,115.174788,0.573009
jv_ngoko,124.199588,0.611821
ko_casual,83.426095,0.408951
ko_formal,82.211298,0.406987
mr,80.53676,0.40068
nan,111.957656,0.546135
nan_spoken,113.465131,0.545505
ru_casual,93.981748,0.456222
ru_formal,87.082342,0.433245
sc,113.556089,0.56778
si_formal_spoken,88.559621,0.436254
su_loma,122.370687,0.602811
th,90.157569,0.441949
tl,124.620363,0.626233
yo,103.544742,0.510073
yue,86.923077,0.430312
zh_cn,85.795758,0.420567
